Name,Gender,Location,Description
AADAAN,m,Somali,Somali form of ADHAN.
AADAM,m,"Urdu, Somali, Estonian","Urdu, Somali, and Estonian form of ADAM."
AADEN,m,Somali,Somali form of ADAM.
AAMIINA,f,Somali,Somali form of Aminah.
ABADIR,m,"Near Eastern Mythology, Coptic (Bohairic), Coptic (Sahidic), Arabic (Archaic), Harari, Somali (Archaic)","Means ""mighty father"". This was a Phoenician name for the highest deity. It was borne by a legendary Coptic saint who was martyred with his sister IRAIS (or IRAJA, HERAIS, RHAIS)."
ABAYNESH,f,Amharic,"Means ""you are the Nile"" in Amharic."
ABDI,m,"Somali, Indonesian, Turkish","Derived from Arabic عَبْد (ʿabd) meaning ""servant""."
ABDIKADIR,m,Somali,"Somali form of ABD AL-QADIR, used outside of Somalia."
ABDIRAHIM,m,Somali,Somali form of ABDURRAHIM.
ABDIRAHMAN,m,Somali,Somali form of ABD AL-RAHMAN.
ABDIRIZAK,m,Somali,"Somali form of ABDUR RAZZAQ. A notable bearer was the Abdirizak Haji Hussein (1924–2014), the former Prime Minister of Somalia."
ABDULKADIR,m,Somali,"Somali form of ABD AL-QADIR, used outside of Somalia."
ABDULLAHI,m,"Somali, Nigerian",Form of ABDULLAH used in Somalia and Nigeria.
ABDUWALI,m,"Uyghur, Somali",Uyghur and Somali form of ABD AL-WALI.
ABEBE,m,"Amharic, Ethiopian",Variant of ABEBA.
ABEBECH,f,"Amharic, Ethiopian",Feminine form of ABEBE.
ABERA,m,Ethiopian,"Means ""light"" or ""he shines"". Used as both a given name and a surname."
ABIGAILI,f,"Biblical, Swahili",Swahili form of ABIGAIL.
ABIKANILE,f,Yao,"Meaning ""listen"" in Yao."
ABIY,m,Amharic,"Means ""father's joy"" in Amharic."
ABOYO,f,Luo,"Means ""one who saunters"" in Luo."
ABREHAM,m,Ethiopian,Ethiopian form of ABRAHAM.
ABRIHET,f,Tigrinya,"Means ""light"" in Tigrinya."
ABSHIR,m,Somali,"Means ""congratulation"" in Somali."
ABUK,f,"African Mythology, Dinka","In Dinka mythology (south Sudan), the first woman. She is the patron goddess of women and gardens. Her emblem is a little snake. She is the mother of DENG (DANKA)."
ABUNGU,f,Luo,"Means ""of the forest"" in Luo."
ABUTO,f,Luo,"Means ""I have hidden"" in Luo."
ACHAN,f,Dinka,"Means ""female child in the first pair of twins"" in Dinka."
ADAMU,m,"Amharic, Swahili, Hausa","Amharic, Swahili, and Hausa form of ADAM."
ADAN,m,Somali,"Somali spelling of ADAM, used outside of Somalia."
ADANECH,f,Amharic,"Means ""she saved"" or ""she rescued"" or ""she has rescued them"" in Amharic."
ADDIMEW,m,Amharic,"Means ""invite him"" in Amharic."
ADDIS,f,"Amharic, Ethiopian","Derived from Amharic አዲስ (addis) ""new""."
ADDISU,m,Ethiopian,"Means ""the new one""."
ADEDE,f,Luo,"Means ""grasshopper"" in Luo."
ADEN,m,Somali,"Somali form of ADAM, used outside of Somalia."
ADHRA,f,Swahili,"Means ""apology"" in Swahili."
ADIA,f,"Igede, Swahili","Means ""queen"" in Igede and ""(valuable) gift"" in Swahili, from Hausa adia ""gift""."
ADMASE,m,Amharic,"Means ""my diamond"" in Amharic."
ADMASSU,m,Amharic,"Means ""his horizon"" in Amharic."
ADMASU,m,"Eastern African, Amharic","Means ""his horizon"" from Amharic አድማስ (admas) meaning ""horizon""."
ADONGO,m,Luo,"Means ""second of the twins"" in Luo."
ADUA,f,"Tigrinya (Italianized, Rare), Italian (Rare)","Italian form of ዓድዋ also spelled Adwa or Aduwa. This is an Ethiopian town whose name means ""village of Awa (people)"" in Tigrinya.... [more]"
ADUOR,f,"Eastern African, Luo","Means ""born at dawn"" in Luo."
ĀFEWORQ,m,"Ethiopian, French",
AFWERKI,m,"Tigrinya, Ethiopian","Means ""mouth of gold"" in Tigrinya."
AGWANG,f,Luo,"Means ""wolf"" in Luo."
AIMUT,m,Amharic,"Means ""may he not die"" in Amharic."
AJUOGA,f,Luo,"Means ""doctor"" in Luo."
AKELLO,f,Luo,"Means ""born after twins"" in Luo."
AKETCH,f,Luo,"Means ""born during a famine"" in Luo."
AKIKI,m,"Eastern African, Nkore","Means ""friend"" in Nkore, spoken in Uganda."
AKLILU,m,Tigrinya,"Means ""laurel wreath"" in Tigrinya."
ALAME,m,Amharic,"Means ""my world"" in Amharic."
ALAZAR,m,Ethiopian,"Meaning, ""God is my help."""
ALEEKI,m,Somali,"Means ""brave lion"" in Somali."
ALEK,f,"Eastern African, Dinka","Means ""black-and-white cow"" in Dinka.... [more]"
ALEMNESH,f,"Ethiopian, Amharic",
ALEMU,m,Amharic,"Means ""they dreamt"" in Amharic."
ALILE,f,Yao,"Means ""she weeps"" in Yao."
ALIMAZI,f,Amharic,"Means ""diamond"" in Amharic."
ALMAZ,m,"Kazakh, Kyrgyz, Bashkir, Tatar, Ethiopian, Amharic","Derived from Persian الماس (almâs) meaning ""diamond"". It is used as a masculine name in Turkic-speaking countries and regions of Russia, while it is feminine in Ethiopia."
ALUOCH,f,Luo,"Means ""born on overcast morning"". It is of Luo origin."
AMAN,m,Tigrinya,"Means ""handsome"" in Tigrinya."
AMANI,f,Tigrinya,"Means ""faith"" in Tigrinya."
AMANYIRE,f,"Eastern African, Nyoro, Tooro, Nkore, Kiga","Means ""God knows"" in Nyoro, Tooro, Nkore, and Kiga."
AMBELU,m,Amharic,"Possibly means ""commander"" in Amharic."
AMBESA,m,Ethiopian (Modern),"The meaning of this Ethiopian names is ""lion""."
AMBESA,f,Tigrinya,"Means ""lioness"" in Tigrinya."
AMBESA,m,Amharic (Modern),Variant of ANBESA.
AMBILIKE,m,Nyakyusa,"Means ""He heard me"" in Nyakyusa."
AMBURO,f,Somali,Seems to be derived from the surname Amburo.
AMESEMI,f,"Eastern African, African Mythology","Amesemi was goddess of the ancient Kingdom of Kush, and wife of the god Apedemak."
AMHA,m,Amharic,
AMIBESA,f,Amharic,"Means ""lioness"" in Amharic."
AMLESET,f,Tigrinya,"Means ""she made it return"" in Tigrinya."
AMMANUEL,m,Ethiopian,Variant of EMMANUEL.
AMONDI,f,Swahili,Swahili form of AMANI.
AMRI,m,"Swahili, Arabic","Means ""command"" in Swahili."
ANASA,f,Swahili,"Means ""joy"" in Swahili."
ANBESA,m,Amharic (Modern),"Means ""Lion"" in Amharic."
ANBESSA,m,Tigrinya,"Means ""lion"" in Tigrinya."
ANDULILE,m,Nyakyusa,"Means ""He helped me"" in Nyakyusa."
ANDWELE,m,Swahili,"Means ""God brings me"" in Swahili."
ANGALIA,f,Swahili (?),
ANGAVU,m,Swahili,"Swahili masculine name meaning ""clear, lucid""."
ANIBESA,m,Amharic (Modern),Variant of ANBESA.
ANYANG,f,Luo,"Means ""crocodile"" in Luo."
ANZA,f,"English (Rare), Swahili (?), South African (Rare), Pakistani (Rare)",
ARAGSAN,f,Somali,"Means ""see"" in Somali."
ARANCHI,f,Tigrinya,"Means ""orange (fruit)"" in Tigrinya."
ARAYA,m,Tigrinya,"Means ""leader by example"" in Tigrinya."
AREYHU,f,"Ethiopian, African",
ARMANA,f,Tigrinya,"Neans ""our flag"" in Tigrinya."
ARSEMA,f,Amharic,Amharic form of HRIPSIME.
ARUSI,f,Swahili,"Means ""born at wedding time"" in Swahili."
ASABA,m,Tooro,
ASADI,m,Eastern African,"Masculine name in the Rotooro language, Uganda East Africa."
ASALI,f,Swahili,"Means ""honey"" in Swahili."
ASANI,m,Swahili,"Means ""rebellious"" in Swahili."
ASATIRA,f,Swahili,"Means ""history, legend"" in Swahili."
ASEGELILE,m,Nyakyusa,"Means ""He is close to me"" in Nyakyusa."
ASEGID,m,Amharic,
ASELEFECH,f,Ethiopian,
ASHEGARI,f,Amharic,"Means ""may he make you perfect"" in Amharic."
ASHKIR,m,Somali,
ASKALE,f,Amharic (Rare),"Probably based on ""Askal of Mary"" (A type of flower)."
ASLI,f,Somali,"Means ""amber"" in Somali."
ASMERET,f,Tigrinya,"Means ""united, unity"" in Tigrinya."
ASMINI,f,Swahili,Swahili form of Jasmin.
ASSEMAHEGN,m,Amharic,"Means ""you made me famous"" in Amharic."
ASSIE,f,Oromo,varint of aussie
ASTER,f,Amharic,Amharic form of ESTHER.
ASTUR,f,Somali,
ATHUMANI,m,Swahili,"Means ""third one"" in Swahili."
ATIENA,f,Swahili,"Means ""guardian of the night"" in Swahili."
ATURINDA,m,"Eastern African, Nkore","Means ""He -God- protects us"" in Nkole, spoken in Uganda."
AWASH,m,Amharic,"Means ""lender"" in Amharic."
AWINO,f,Luo,"Means ""born with the cord around"" in Luo."
AWUOR,f,Luo,"Means ""the greedy one"" in Luo.... [more]"
AYAN,f,Somali,Variant of Ayaan.
AYANA,f,Amharic,"Means ""beautiful flower"" in Amharic."
AYANA,f,Eastern African (Modern),
AYANLE,m,Somali,Masculine form of AYAN.
AYANNA,f,"Eastern African, African American (Modern), Jamaican Patois","Possibly means ""flower"" in Amharic."
AYANTU,f,Ethiopian (?),
AYELE,m,"Eastern African, Amharic","Means ""he became strong, he became powerful"" in Amharic."
AYELECH,f,"Amharic, Ethiopian","Means ""she who is powerful"" in Amharic."
AYEN,f,Dinka,Related with a specific kind of cow in Dinka language.
AYOU,f,"Amharic, Ethiopian",Diminutive of AYELECH.
AZIZI,m,Swahili (Modern),"Means ""The mighty one; powerful, beloved"" Also has some arabic and egyptian origin, and tanzanian.... [more]"
AZMERA,f,Amharic,"Means ""harvest, crop"" in Amharic."
