Name,Gender,Location
AADAAN,m,Somali
AADAM,m,Urdu
AADEN,m,Somali
AAMIINA,f,Somali
ABADIR,m,Near Eastern Mythology
ABAYNESH,f,Amharic
ABDI,m,Somali
ABDIKADIR,m,Somali
ABDIRAHIM,m,Somali
ABDIRAHMAN,m,Somali
ABDIRIZAK,m,Somali
ABDULKADIR,m,Somali
ABDULLAHI,m,Somali
ABDUWALI,m,Uyghur
ABEBE,m,Amharic
ABEBECH,f,Amharic
ABERA,m,Ethiopian
ABIGAILI,f,Biblical
ABIKANILE,f,Yao
ABIY,m,Amharic
ABOYO,f,Luo
ABREHAM,m,Ethiopian
ABRIHET,f,Tigrinya
ABSHIR,m,Somali
ABUK,f,African Mythology
ABUNGU,f,Luo
ABUTO,f,Luo
ACHAN,f,Dinka
ADAMU,m,Amharic
ADAN,m,Somali
ADANECH,f,Amharic
ADDIMEW,m,Amharic
ADDIS,f,Amharic
ADDISU,m,Ethiopian
ADEDE,f,Luo
ADEN,m,Somali
ADHRA,f,Swahili
ADIA,f,Igede
ADMASE,m,Amharic
ADMASSU,m,Amharic
ADMASU,m,Eastern African
ADONGO,m,Luo
ADUA,f,"Tigrinya (Italianized, Rare)"
ADUOR,f,Eastern African
ĀFEWORQ,m,Ethiopian
AFWERKI,m,Tigrinya
AGWANG,f,Luo
AIMUT,m,Amharic
AJUOGA,f,Luo
AKELLO,f,Luo
AKETCH,f,Luo
AKIKI,m,Eastern African
AKLILU,m,Tigrinya
ALAME,m,Amharic
ALAZAR,m,Ethiopian
ALEEKI,m,Somali
ALEK,f,Eastern African
ALEMNESH,f,Ethiopian
ALEMU,m,Amharic
ALILE,f,Yao
ALIMAZI,f,Amharic
ALMAZ,m,Kazakh
ALUOCH,f,Luo
AMAN,m,Tigrinya
AMANI,f,Tigrinya
AMANYIRE,f,Eastern African
AMBELU,m,Amharic
AMBESA,m,Ethiopian (Modern)
AMBESA,f,Tigrinya
AMBESA,m,Amharic (Modern)
AMBILIKE,m,Nyakyusa
AMBURO,f,Somali
AMESEMI,f,Eastern African
AMHA,m,Amharic
AMIBESA,f,Amharic
AMLESET,f,Tigrinya
AMMANUEL,m,Ethiopian
AMONDI,f,Swahili
AMRI,m,Swahili
ANASA,f,Swahili
ANBESA,m,Amharic (Modern)
ANBESSA,m,Tigrinya
